FUR_ID,FUR_NAME,FUR_LINK,FUR_DESC,FUR_COST,FUR_DIM_L,FUR_DIM_W,FUR_DIM_H,FUR_TYPE
13,Ektorp Sofa Dark Blue,"https://www.ikea.com/es/en/p/ektorp-3-seat-sofa-hillared-dark-blue-s39430532/
",FOO,525.83,88,218,88,Sofa
14,Kramfors 2 Seat Sofa,"https://www.comfortly.com/products/kramfors-2-seat-ikea-sofa-cover?variant=43699714982128&currency=USD&gad=1&gclid=CjwKCAjws9ipBhB1EiwAccEi1PSmFdQEnivdN3QRipa2ayEUr5qmBg-IY8mlDbOrsEAXXd6WBokdpxoCiNUQAvD_BwE
",FOO,235,95,178,66,Sofa
15,Alrid 2 Seat Sofa,"https://kaiyo.com/ikea-ikea-arild-two-cushion-sofa/
",FOO,604,91,203,76,Sofa
16,Solsta 2 Seat Sofa,"https://offerup.com/item/detail/1416445132
",FOO,85,79,137,72,Sofa
17,Vreta 3 Seat Sofa Mjuk Ivory,"https://www.showmethead.com/evanston-il/furniture/450-obo-beautiful-ikea-vreta-leather-sofa-like-new-retail-799_19018492.html
",FOO,450,95,207,88,Sofa
18,Kipplan 2 Seat Sofa,"https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/
",FOO,399,89,177,66,Sofa
19,Lilberg 2 Seat Sofa,"https://bemz.com/en-us/products/LIL2
",FOO,175,94,128,85,Sofa
20,Kvart Floor Lamp Red,https://www.etsy.com/listing/1266822152/very-unique-ikea-kvart-floor-lamp-red?show_sold_out_detail=1&ref=nla_listing_details,FOO,142,15,160,20,Lamp
21,Kroby Table Lamp,https://www.ebay.com/itm/126107430940,FOO,55,23,49,18,Lamp 
22,Stockholm Floor Lamp,https://www.ikea.com/sg/en/p/stockholm-2017-floor-lamp-chrome-plated-50343538/,FOO,149,30,140,28,Lamp
23,Lykta Table Lamp,https://www.etsy.com/listing/1106219426/vintage-handmade-white-ikea-lykta?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=lykta+lamp+ikea&ref=sr_gallery-1-3&sts=1&organic_search_click=1,FOO,55,13,24,13,Lamp
24,Orgel Table Lamp,https://poshmark.com/listing/IKEA-ORGEL-Table-Lamps-6212765cac970237b2429d6c,FOO,45,15,56,15,Lamp
25,Candy Light Lamp,https://www.rueroyalemaison.com/index.php?route=product/product&product_id=1430,FOO,3190,25,53,25,Lamp
26,Louxor Table Lamp,https://www.select-interiorworld.com/dz_en/baccarat-table-lamp-louxor-2807838.html,FOO,2600,28,41,18,Lamp
27,NYFORS Floor Lamp,https://www.ikea.com/us/en/p/nyfors-floor-lamp-with-led-bulb-nickel-plated-white-00416283/,FOO,90,38,137,28,Lamp
